nome,apadrinhamento,registrocnpj,interesseregularizar,bairro,cidade,formato,refeicoesquant,diassemana,melhordia
Joel Lima,CUT Comunidades,Não,Sim,Cristal,Porto Alegre,Marmita,200,5,Quinta
Cozinha Quem Planta Colhe,MNLM,Não,Não,Duque de Caxias,São Leopoldo,As pessoas levam seus potes/vasilhas/pratos,600,6,Sexta
Cozinha Tenda do Encontro,MNLM,Não,Não,Duque de Caxias,São Leopoldo,"As pessoas levam seus potes/vasilhas/pratos,Refeições coletivas",600,6,Sexta
Cozinha Guerreiros e Guerreiras da Justo,MNLM,Não,Não,Duque de Caxias,São Leopoldo,"As pessoas levam seus potes/vasilhas/pratos,Refeições coletivas",600,6,Sexta
Associação Vaga-Lume da Esperança Vila Novq,Fórum fome zero,Não,Não,Ermo,Guaíba,Marmita,280,2,Quarta
Ylê Mãe Iansa Funique,FONSANPOTMA,Não,Não,Farrapos,Porto Alegre,"Marmita,Refeições coletivas,Outro",250,3,Sexta
Templo de Oxalá e Cabocla Iara,FONSANPOTMA,Não,Não,Farrapos,Porto Alegre,As pessoas levam seus potes/vasilhas/pratos,300,3,"Quinta, Sexta"
Cozinha Comunitária Moradas do Sol,União Nacional por moradia popular,Sim,Não,Fazenda São Borja,São Leopoldo,Refeições coletivas,500,3,Sexta
Cozinha Prato Feito Vila Fundão,MNLM,Não,Não,Feitoria,São Leopoldo,As pessoas levam seus potes/vasilhas/pratos,600,6,Sexta
Cozinha Coop20,MNLM,Não,Não,Floresta,Porto Alegre,Marmita,500,2,Sexta
Associação Reciclando Pela Vida,Ação cidadania,Sim,Não,Floresta,Porto Alegre,"Marmita,Refeições coletivas",150,5,Sexta
Associação Vomunitaria Mulheres Pela Luta,Ação cidadania,Sim,Não,Floresta,Porto Alegre,As pessoas levam seus potes/vasilhas/pratos,400,4,"Segunda, Terça, Quarta, Quinta, Sexta"
Associação Anjos da Ecologia,Ação cidadania,Sim,Não,Floresta,Porto Alegre,"Marmita,Refeições coletivas",150,7,Sexta
Cozinha Solidária Templo de Ogum e Oxum,CUT Comunidades,Não,Sim,Formosa / Maria Regina,Alvorada,Marmita,1.200,6,Sexta
Solidária da Ruth,CUT Comunidades,Não,Não,Formosa / Maria Regina,Alvorada,Marmita,100,3,"Quinta, Sexta"
Cozinha Benificiente Obá e Ogum,FONSANPOTMA,Não,Não,Formosa / Maria Regina,Alvorada,"Marmita,As pessoas levam seus potes/vasilhas/pratos",300,5,Sexta
Projeto Periferia,CUT Comunidades,Não,Não,Glória,Porto Alegre,Marmita,200,1,"Segunda, Quinta"
"Assomari, Cozinha Comunitária e Emergencial",FONSANPOTMA,Não,Não,Glória,Porto Alegre,As pessoas levam seus potes/vasilhas/pratos,1.500,7,"Quinta, Sexta"
Cozinha Solidária Onifé,CUT Comunidades,Sim,Não,Glória,Porto Alegre,Marmita,1.200,6,Sexta
Cozinha Comunitária Corrente do Bem,FESANS,Sim,Não,Guajuviras,Canoas,Marmita,28.000,7,"Quinta, Sexta"
Cozinha Vida Saudável,MTD,Não,Não,Guajuviras,Canoas,"Marmita,As pessoas levam seus potes/vasilhas/pratos",800,5,Segunda
Cozinha Solidária Vidas,Sem apadrinhamento,Sim,Sim,Higienópolis,Porto Alegre,Marmita,2.400,6,Sexta
Mãe Bere da Oxum,FONSANPOTMA,Não,Não,Humaitá,Porto Alegre,Marmita,480,5,"Segunda, Terça, Quinta"
Yle Oxum Panda Axé Yemanja,FONSANPOTMA,Não,Sim,Humaitá,Porto Alegre,Marmita,250,2,Quinta
Reino de Oxum e Oxalá Cozinha da Vó Rita,FONSANPOTMA,Não,Sim,Humaitá,Porto Alegre,Marmita,825,6,Quinta
Cooperativa Coadesc,Fórum fome zero,Não,Não,Humaitá,Porto Alegre,Marmita,120,1,Quarta
Ile de Oia Nique de Ogum Gempero da Preta Rs,FESANS,Sim,Não,Ipanema,Porto Alegre,Marmita,300,5,Quinta
Cozinha Solidária Vila Esperança,FESANS,Sim,Não,Jardim Betânia,Gravataí,"Marmita,As pessoas levam seus potes/vasilhas/pratos",1.250,5,Quinta
Feijoada da Amizade,Ação cidadania,Não,Sim,Jardim Carvalho,Porto Alegre,Marmita,500,3,Sexta
Cozinha Solidária Reino de Ogum e Iemanjá,Ação cidadania,Não,Não,Jardim Carvalho,Porto Alegre,"Marmita,Refeições coletivas",150,3,Terça
Ilê Ogum Onira,FONSANPOTMA,Sim,Não,Jardim Itu Sabará,Porto Alegre,Marmita,400,5,"Quinta, Sexta"
Luis Carlos,CUT Comunidades,Sim,Sim,Jardim Leopoldina,Porto Alegre,Marmita,1.000,7,"Segunda, Terça, Quarta, Quinta, Sexta, Sábado"
